State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,670318455,201898,259552,541999800,163249,492868502,190842,250731754,75.5,224987839,87.1,212481465,64,191812471,74.3,395547215,244645540,30125700,0,18224294,205042012,318253687,479807,74701000,121024325,16619171,136969,74616214,100476391,16589004,130862,N/A,75.5,N/A,87.1,60.6,180484794,69.9,250731754,55926976,95,48442958,88.4,23104921,22939374,2338004,60659,135699633,247663,1223390,241797087,85.3,206038540,72.7,74695249,114593215,16614331,135745,526550558,185719,236427,250673714,80.3,212469235,68,74697874,121018305,16616180,136876,541931593,173549,214663,89288662,42,89276522,43.3,86768638,45.2,31415294,64.9,39019079,48892773,1356150,20660,44540703,33803384,4868875,N/A,45635664,36366785,1264814,20477,41369459,3131541,31048,8655,2589213,31175416,31473,7282,1638785,2026788,1202048,1254,38207,33040,245,3286,92.9,7,0.1,0,7.7,92.2,0.1,0,33.7,41.6,24.7,0,51.1,44.2,0.3,4.4
Alaska,1402005,191650,254188,1066697,145814,961255,174279,497274,68,442467,80.2,437138,59.8,391360,71,777345,540960,83700,0,44183,412547,609034,933,156783,239457,40792,106,156356,194274,40630,100,N/A,68,N/A,80.2,55.1,357618,64.8,497274,85611,93.5,77706,84.8,42679,31321,3664,42,210175,229479,1530770,477549,78.4,422731,69.4,156776,225064,40785,106,1032078,169505,230261,497145,73.1,437113,64.2,156778,239442,40787,106,1066547,156738,206036,175450,40.1,175412,41.5,170131,43.5,54287,69.9,78699,94162,2568,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8927700,182080,234023,5981709,121996,5604398,146909,3006718,61.3,2791098,73.2,2431444,49.6,2277569,59.7,4745080,3788420,394200,0,171543,2617950,3191782,434,1009501,1258959,162357,627,1009010,1105672,162262,625,N/A,61.3,N/A,73.2,47.1,2157975,56.6,3006718,806203,94.9,686729,80.8,364613,284996,36716,404,1813059,213342,1050520,2950333,70.5,2401017,57.3,1009483,1228560,162347,627,5892309,140733,213230,3006328,65.2,2431382,52.8,1009497,1258909,162349,627,5981265,129778,193709,808688,33.3,808638,33.7,797852,35,380255,55.4,399508,394653,14461,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5621420,186275,242548,4018571,133162,3677669,158681,1966124,65.2,1776240,76.6,1595279,52.9,1452972,62.7,3095160,2275860,250400,0,119868,1721504,2173351,3848,651934,831167,111001,1177,650776,690899,110456,841,N/A,65.2,N/A,76.6,50.1,1371129,59.2,1966124,493564,94.2,415060,79.2,233074,165834,15682,470,1142363,218057,1073030,1907094,74.6,1558463,60.9,651913,794797,110873,880,3922960,153406,219823,1964437,69.4,1595063,56.4,651921,831085,110881,1176,4016778,141969,198683,583990,36.6,583904,37.5,572206,39.4,253786,61.1,286825,287827,8914,424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,92810,195835,296186,84396,178081,61838,197345,42239,89.1,30304,95,37589,79.3,27132,86.6,70710,21500,600,0,558,20707,63106,25,9008,27999,570,12,8989,17562,569,12,N/A,89.1,N/A,95,78.2,26623,85,42239,3016,92,2768,84.4,1158,1582,26,2,6690,204088,2831300,36774,95,32997,89.4,9007,23408,570,12,74281,201211,251402,42235,95,37589,87.2,9008,27999,570,12,84392,195760,215286,5199,13.8,5199,15.8,5121,18.9,1033,37.3,1658,3541,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,13629920,187257,241730,11244139,154480,10203945,180970,5122800,70.4,4561761,80.9,4296971,59,3885682,68.9,7871400,5157220,601300,0,355729,4451940,6413179,23291,1598135,2367733,324751,6352,1597427,1957712,324295,6248,N/A,70.4,N/A,80.9,55.7,3642023,64.6,5122800,1275438,95,1105784,84.5,538808,513466,50130,3380,3201878,244673,1041540,4934001,79.5,4184937,67.4,1598089,2256006,324507,6335,10934830,176196,219623,5121969,74.8,4296677,62.7,1598118,2367691,324516,6352,11243153,164159,199008,1626814,37.9,1626484,38.9,1580538,40.7,634296,57.4,719999,884774,21195,846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,319910,N/A,N/A,295115,N/A,295113,N/A,139747,N/A,139745,N/A,130454,N/A,130453,N/A,164010,139800,16100,0,14156,130303,150624,32,51055,65923,13476,0,51055,65923,13475,0,N/A,N/A,N/A,N/A,0,119631,0,139747,3851,0,3611,0,1731,1685,195,0,9413,0,0,139745,0,130453,0,51055,65923,13475,0,295113,0,0,139745,0,130453,0,51055,65923,13475,0,295113,0,0,37597,28.8,37597,28.8,37597,28.8,2120,58.7,22219,14714,642,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,83616855,211623,273101,69676949,176343,62479158,204063,31876600,80.7,28148555,91.9,27379155,69.3,24313699,79.4,50372435,29589420,3655000,0,2242435,26232432,41187466,14616,9490534,15829349,2054759,4513,9463954,12798628,2046969,4148,N/A,80.7,N/A,91.9,66.1,23049093,75.3,31876600,5942313,95,5159024,88.4,2608585,2348878,200161,1400,14517494,248667,1432260,30570870,90.9,26418421,78.5,9489773,14870021,2054172,4455,67410415,200350,248517,31866491,85.8,27377057,73.7,9490228,15827926,2054391,4512,69665088,187632,225209,12594487,46,12593369,47.7,12165140,50,3577959,69.4,5552172,6842668,199155,492,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11566655,200854,257082,10101513,175412,9144008,203236,4467610,77.6,3976165,88.4,3937730,68.4,3525323,78.4,6843955,4238500,484200,0,332895,3927494,5832424,8700,1410436,2217499,307386,2409,1409823,1806133,307045,2322,N/A,77.6,N/A,88.4,65.1,3335258,74.1,4467610,849693,95,772661,91.7,368335,374882,28611,833,2198429,260968,1373040,4283152,86.8,3797323,76.9,1410368,2077194,307361,2400,9775484,198042,234330,4466574,82.3,3937660,72.6,1410422,2217462,307367,2409,10100428,186130,213150,1903041,48.3,1902875,50.1,1844695,52.3,562009,72.7,857333,1021065,24259,384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8062215,226131,284096,7132823,200063,6430821,226609,3309072,92.8,2946315,95,2737817,76.8,2443056,86.1,4672275,3052940,337000,0,244194,2708310,4179105,1214,930333,1579008,228033,443,929809,1285066,227845,336,N/A,92.8,N/A,95,72.6,2294332,80.8,3309072,726262,95,599148,95,235605,340887,22556,100,1753437,278216,1279220,3181762,95,2641854,85.1,930014,1483451,227949,440,6908048,222414,259573,3307679,95,2737373,80.9,930125,1578853,227953,442,7131008,210754,238275,1294615,47.3,1294516,49,1254265,51.3,431378,72,604155,674687,15756,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
