State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,632575655,190530,244938,516597039,155597,473863880,183483,246050320,74.1,222499240,86.2,207229983,62.4,188893626,73.1,368953715,234099340,29522600,0,17766224,196913814,301374353,542648,73638649,117035180,16409558,146596,73552936,98820026,16379150,141514,N/A,74.1,N/A,86.2,58.7,176656930,68.4,246050320,56083660,95,48093249,87.8,22934422,22778087,2320912,59828,132869874,242499,1154500,238679852,84.2,202508332,71.4,73633280,112324283,16405011,145758,504454219,177925,223115,246007983,78.8,207219898,66.4,73635499,117031253,16406597,146549,516546732,165419,202577,73814228,35.6,73132408,38.7,49583127,50.5,28828277,59.9,32882883,39806408,1108673,16264,36263063,28613830,3811163,N/A,37123671,30593665,1029170,16116,33721355,2507885,26799,7024,2105387,26475195,27261,5987,1253891,1581379,974902,991,43038,29206,208,2114,93,6.9,0.1,0,7.4,92.5,0.1,0,32.9,41.5,25.6,0,57.7,39.2,0.3,2.8
Alaska,1343785,183691,243633,1035725,141580,942035,170794,478534,65.4,426925,77.4,414195,56.6,374554,67.9,740445,520240,83100,0,41337,402934,590595,859,151074,225885,37131,105,150674,186801,36980,99,N/A,65.4,N/A,77.4,52.2,342485,62.1,478534,85589,93.5,77247,84.3,42522,31186,3498,41,207616,226685,1467210,460740,75.7,403808,66.3,151069,215509,37125,105,1007489,165467,220699,478467,70.3,414181,60.9,151071,225879,37126,105,1035645,152197,197480,148931,36,147298,39.3,94293,54,50250,65.1,68555,78421,1935,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,8391130,171136,219958,5710373,116463,5378654,140991,2894430,59,2701147,70.8,2351731,48,2217994,58.1,4448170,3559360,383600,0,165019,2501658,3043308,388,987501,1208025,155617,588,987018,1074861,155529,586,N/A,59,N/A,70.8,45.5,2096430,55,2894430,790377,93,678417,79.8,360303,281652,36075,387,1759217,207006,987381,2851498,68.1,2333571,55.7,987485,1189891,155607,588,5648009,134898,200415,2894070,62.8,2351670,51,987497,1207976,155609,588,5709962,123892,182066,676060,28.7,672356,30.3,529543,40.4,341274,50.3,328441,335648,11921,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5216470,172856,225076,3857171,127814,3551850,153252,1909027,63.3,1734422,74.8,1555947,51.6,1427394,61.6,2828170,2140600,247700,0,117555,1659061,2076838,3717,641015,804959,108868,1105,639876,678376,108333,809,N/A,63.3,N/A,74.8,48.7,1341956,57.9,1909027,486588,92.9,411180,78.5,230749,164441,15534,456,1116341,213090,995734,1860371,72.7,1529272,59.8,641002,778681,108743,846,3781977,147892,203988,1907537,67.4,1555773,55,641004,804915,108750,1104,3855617,136273,184371,497863,32,494707,34.7,368059,46.3,234615,57.1,245661,243853,7942,407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,83310,175789,265869,79825,168436,59975,191399,41115,86.8,29985,95,35330,74.5,26727,85.3,62010,20700,600,0,552,20041,59229,3,8840,25928,561,1,8822,17344,560,1,N/A,86.8,N/A,95,73.4,26197,83.6,41115,2982,91,2725,83.1,1142,1557,26,0,6439,196431,2541490,36374,95,32437,87.9,8839,23036,561,1,72128,195379,225668,41111,95,35330,82,8840,25928,561,1,79821,185157,193250,3927,11.1,3906,14.6,2153,22.1,832,30.5,1244,2683,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12933400,177688,229377,10668810,146575,9770219,173278,4946156,68,4443689,78.8,4181056,57.4,3817612,67.7,7403880,4941220,588300,0,346360,4251082,6050020,21348,1572999,2284843,317295,5919,1572313,1922631,316845,5823,N/A,68,N/A,78.8,53.9,3562532,63.2,4946156,1257523,95,1096593,83.8,534557,509407,49441,3188,3117219,238204,988314,4796695,77.3,4103645,66.1,1572957,2207734,317050,5904,10436310,168163,208400,4945415,72.2,4180764,61,1572981,2284804,317060,5919,10667922,155760,188838,1337127,32,1325312,34.7,939541,45.7,582698,53.1,594186,724794,17573,574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,305110,N/A,N/A,280387,N/A,280385,N/A,135934,N/A,135932,N/A,128624,N/A,128623,N/A,155610,133400,16100,0,14094,121203,145058,32,49997,65207,13420,0,49997,65207,13419,0,N/A,N/A,N/A,N/A,0,117012,0,135934,3769,0,3595,0,1720,1680,195,0,8905,0,0,135932,0,128623,0,49997,65207,13419,0,280385,0,0,135932,0,128623,0,49997,65207,13419,0,280385,0,0,28579,22.2,28579,22.2,9938,34.9,1718,47.8,16484,11435,638,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,77883495,197112,254375,67100968,169823,60811546,198616,33071609,83.7,29557775,95,26354961,66.7,23679099,77.3,46244275,28098320,3540900,0,2217962,25430020,39436874,16112,9239590,15057603,2053091,4677,9213399,12416176,2045213,4311,N/A,83.7,N/A,95,63,22228509,72.6,33071609,6528278,95,5083406,87.1,2564137,2315340,202521,1408,14548746,249203,1334050,31992210,95,25668807,76.3,9238774,14372889,2052526,4618,65330720,194169,231477,33066397,89.1,26353742,71,9239243,15057104,2052718,4677,67094875,180710,209767,9370935,35.6,9271380,39.2,5633303,50.8,3027421,59.6,4235473,4979699,155338,425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11089475,192568,246476,9643759,167463,8781217,195172,4323706,75.1,3861233,85.8,3834638,66.6,3451921,76.7,6490895,4120680,477900,0,325487,3780642,5529713,7917,1388270,2144316,299852,2200,1384486,1766697,298617,2121,N/A,75.1,N/A,85.8,63.1,3254387,72.3,4323706,825192,95,752338,89.3,358687,366170,26714,767,2136447,253611,1316400,4157322,84.2,3716075,75.3,1388216,2025846,299821,2192,9356982,189564,224662,4323355,79.7,3834575,70.7,1388256,2144291,299828,2200,9643368,177708,204356,1628761,42.5,1614086,46.8,980574,61.5,538334,71.6,754666,852542,21327,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7632635,214082,268959,6788134,190395,6174394,217573,3202075,89.8,2869137,95,2678243,75.1,2414080,85.1,4376175,2924460,332000,0,238440,2593948,3954533,1213,919695,1533916,224193,439,919182,1270557,224009,332,N/A,89.8,N/A,95,70.7,2256334,79.5,3202075,718552,95,596790,94.7,234771,339675,22245,99,1719608,272848,1211060,3093911,95,2606953,83.9,919380,1463025,224112,436,6607196,212727,245743,3200756,94.6,2677802,79.1,919487,1533763,224114,438,6786396,200569,225579,1097910,41,1086489,45,744392,58,406526,68.1,527667,556938,13288,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
