State,Date,Death,Dates
Missouri,3/10/20,0,2020-03-10
Montana,3/10/20,0,2020-03-10
Nebraska,3/10/20,0,2020-03-10
Nevada,3/10/20,0,2020-03-10
New Hampshire,3/10/20,0,2020-03-10
New Jersey,3/10/20,1,2020-03-10
New Mexico,3/10/20,0,2020-03-10
New York,3/10/20,0,2020-03-10
North Carolina,3/10/20,0,2020-03-10
North Dakota,3/10/20,0,2020-03-10
Northern Mariana Islands,3/10/20,0,2020-03-10
Ohio,3/10/20,0,2020-03-10
Oklahoma,3/10/20,0,2020-03-10
Oregon,3/10/20,0,2020-03-10
Pennsylvania,3/10/20,0,2020-03-10
Puerto Rico,3/10/20,0,2020-03-10
Rhode Island,3/10/20,0,2020-03-10
South Carolina,3/10/20,0,2020-03-10
South Dakota,3/10/20,0,2020-03-10
Tennessee,3/10/20,0,2020-03-10
Texas,3/10/20,0,2020-03-10
Utah,3/10/20,0,2020-03-10
Vermont,3/10/20,0,2020-03-10
Virgin Islands,3/10/20,0,2020-03-10
Virginia,3/10/20,0,2020-03-10
Washington,3/10/20,4,2020-03-10
West Virginia,3/10/20,0,2020-03-10
Wisconsin,3/10/20,0,2020-03-10
Wyoming,3/10/20,0,2020-03-10
Alabama,3/11/20,0,2020-03-11
Alaska,3/11/20,0,2020-03-11
American Samoa,3/11/20,0,2020-03-11
Arizona,3/11/20,0,2020-03-11
Arkansas,3/11/20,0,2020-03-11
California,3/11/20,2,2020-03-11
Colorado,3/11/20,0,2020-03-11
Connecticut,3/11/20,0,2020-03-11
Delaware,3/11/20,0,2020-03-11
Diamond Princess,3/11/20,0,2020-03-11
District of Columbia,3/11/20,0,2020-03-11
Florida,3/11/20,0,2020-03-11
Georgia,3/11/20,0,2020-03-11
Grand Princess,3/11/20,0,2020-03-11
Guam,3/11/20,0,2020-03-11
Hawaii,3/11/20,0,2020-03-11
Idaho,3/11/20,0,2020-03-11
Illinois,3/11/20,0,2020-03-11
Indiana,3/11/20,0,2020-03-11
Iowa,3/11/20,0,2020-03-11
Kansas,3/11/20,0,2020-03-11
Kentucky,3/11/20,0,2020-03-11
Louisiana,3/11/20,0,2020-03-11
Maine,3/11/20,0,2020-03-11
Maryland,3/11/20,0,2020-03-11
Massachusetts,3/11/20,0,2020-03-11
Michigan,3/11/20,0,2020-03-11
Minnesota,3/11/20,0,2020-03-11
Mississippi,3/11/20,0,2020-03-11
Missouri,3/11/20,0,2020-03-11
Montana,3/11/20,0,2020-03-11
Nebraska,3/11/20,0,2020-03-11
Nevada,3/11/20,0,2020-03-11
New Hampshire,3/11/20,0,2020-03-11
New Jersey,3/11/20,0,2020-03-11
New Mexico,3/11/20,0,2020-03-11
New York,3/11/20,1,2020-03-11
North Carolina,3/11/20,0,2020-03-11
North Dakota,3/11/20,0,2020-03-11
Northern Mariana Islands,3/11/20,0,2020-03-11
Ohio,3/11/20,0,2020-03-11
Oklahoma,3/11/20,0,2020-03-11
Oregon,3/11/20,0,2020-03-11
Pennsylvania,3/11/20,0,2020-03-11
Puerto Rico,3/11/20,0,2020-03-11
Rhode Island,3/11/20,0,2020-03-11
South Carolina,3/11/20,0,2020-03-11
South Dakota,3/11/20,1,2020-03-11
Tennessee,3/11/20,0,2020-03-11
Texas,3/11/20,0,2020-03-11
Utah,3/11/20,0,2020-03-11
Vermont,3/11/20,0,2020-03-11
Virgin Islands,3/11/20,0,2020-03-11
Virginia,3/11/20,0,2020-03-11
Washington,3/11/20,1,2020-03-11
West Virginia,3/11/20,0,2020-03-11
Wisconsin,3/11/20,0,2020-03-11
Wyoming,3/11/20,0,2020-03-11
Alabama,3/12/20,0,2020-03-12
Alaska,3/12/20,0,2020-03-12
American Samoa,3/12/20,0,2020-03-12
Arizona,3/12/20,0,2020-03-12
Arkansas,3/12/20,0,2020-03-12
California,3/12/20,1,2020-03-12
Colorado,3/12/20,1,2020-03-12
Connecticut,3/12/20,0,2020-03-12
Delaware,3/12/20,0,2020-03-12
Diamond Princess,3/12/20,0,2020-03-12
District of Columbia,3/12/20,0,2020-03-12
Florida,3/12/20,0,2020-03-12
Georgia,3/12/20,1,2020-03-12
Grand Princess,3/12/20,0,2020-03-12
Guam,3/12/20,0,2020-03-12
Hawaii,3/12/20,0,2020-03-12
Idaho,3/12/20,0,2020-03-12
Illinois,3/12/20,0,2020-03-12
Indiana,3/12/20,0,2020-03-12
Iowa,3/12/20,0,2020-03-12
Kansas,3/12/20,0,2020-03-12
Kentucky,3/12/20,0,2020-03-12
Louisiana,3/12/20,0,2020-03-12
Maine,3/12/20,0,2020-03-12
Maryland,3/12/20,0,2020-03-12
Massachusetts,3/12/20,0,2020-03-12
Michigan,3/12/20,1,2020-03-12
Minnesota,3/12/20,0,2020-03-12
Mississippi,3/12/20,0,2020-03-12
Missouri,3/12/20,0,2020-03-12
Montana,3/12/20,0,2020-03-12
Nebraska,3/12/20,0,2020-03-12
Nevada,3/12/20,0,2020-03-12
New Hampshire,3/12/20,0,2020-03-12
New Jersey,3/12/20,0,2020-03-12
New Mexico,3/12/20,0,2020-03-12
New York,3/12/20,0,2020-03-12
North Carolina,3/12/20,0,2020-03-12
North Dakota,3/12/20,0,2020-03-12
Northern Mariana Islands,3/12/20,0,2020-03-12
Ohio,3/12/20,0,2020-03-12
Oklahoma,3/12/20,0,2020-03-12
Oregon,3/12/20,0,2020-03-12
Pennsylvania,3/12/20,0,2020-03-12
Puerto Rico,3/12/20,0,2020-03-12
Rhode Island,3/12/20,0,2020-03-12
South Carolina,3/12/20,0,2020-03-12
South Dakota,3/12/20,0,2020-03-12
Tennessee,3/12/20,0,2020-03-12
Texas,3/12/20,0,2020-03-12
Utah,3/12/20,0,2020-03-12
Vermont,3/12/20,0,2020-03-12
Virgin Islands,3/12/20,0,2020-03-12
Virginia,3/12/20,0,2020-03-12
Washington,3/12/20,7,2020-03-12
West Virginia,3/12/20,0,2020-03-12
Wisconsin,3/12/20,0,2020-03-12
Wyoming,3/12/20,0,2020-03-12
Alabama,3/13/20,0,2020-03-13
Alaska,3/13/20,0,2020-03-13
American Samoa,3/13/20,0,2020-03-13
Arizona,3/13/20,0,2020-03-13
Arkansas,3/13/20,0,2020-03-13
California,3/13/20,1,2020-03-13
Colorado,3/13/20,1,2020-03-13
Connecticut,3/13/20,0,2020-03-13
Delaware,3/13/20,0,2020-03-13
Diamond Princess,3/13/20,0,2020-03-13
District of Columbia,3/13/20,0,2020-03-13
Florida,3/13/20,0,2020-03-13
Georgia,3/13/20,0,2020-03-13
Grand Princess,3/13/20,0,2020-03-13
Guam,3/13/20,0,2020-03-13
Hawaii,3/13/20,0,2020-03-13
Idaho,3/13/20,0,2020-03-13
Illinois,3/13/20,0,2020-03-13
Indiana,3/13/20,0,2020-03-13
Iowa,3/13/20,0,2020-03-13
Kansas,3/13/20,1,2020-03-13
Kentucky,3/13/20,0,2020-03-13
Louisiana,3/13/20,0,2020-03-13
Maine,3/13/20,0,2020-03-13
Maryland,3/13/20,0,2020-03-13
Massachusetts,3/13/20,0,2020-03-13
Michigan,3/13/20,0,2020-03-13
Minnesota,3/13/20,0,2020-03-13
Mississippi,3/13/20,0,2020-03-13
Missouri,3/13/20,0,2020-03-13
Montana,3/13/20,0,2020-03-13
Nebraska,3/13/20,0,2020-03-13
Nevada,3/13/20,0,2020-03-13
New Hampshire,3/13/20,0,2020-03-13
New Jersey,3/13/20,0,2020-03-13
New Mexico,3/13/20,0,2020-03-13
New York,3/13/20,0,2020-03-13
North Carolina,3/13/20,0,2020-03-13
North Dakota,3/13/20,0,2020-03-13
Northern Mariana Islands,3/13/20,0,2020-03-13
Ohio,3/13/20,0,2020-03-13
Oklahoma,3/13/20,0,2020-03-13
Oregon,3/13/20,0,2020-03-13
Pennsylvania,3/13/20,0,2020-03-13
Puerto Rico,3/13/20,0,2020-03-13
Rhode Island,3/13/20,0,2020-03-13
South Carolina,3/13/20,0,2020-03-13
South Dakota,3/13/20,0,2020-03-13
Tennessee,3/13/20,0,2020-03-13
Texas,3/13/20,0,2020-03-13
Utah,3/13/20,0,2020-03-13
Vermont,3/13/20,0,2020-03-13
Virgin Islands,3/13/20,0,2020-03-13
Virginia,3/13/20,0,2020-03-13
Washington,3/13/20,6,2020-03-13
West Virginia,3/13/20,0,2020-03-13
Wisconsin,3/13/20,0,2020-03-13
Wyoming,3/13/20,0,2020-03-13
Alabama,3/14/20,0,2020-03-14
Alaska,3/14/20,0,2020-03-14
American Samoa,3/14/20,0,2020-03-14
Arizona,3/14/20,0,2020-03-14
Arkansas,3/14/20,0,2020-03-14
California,3/14/20,1,2020-03-14
Colorado,3/14/20,0,2020-03-14
Connecticut,3/14/20,0,2020-03-14
Delaware,3/14/20,0,2020-03-14
Diamond Princess,3/14/20,0,2020-03-14
District of Columbia,3/14/20,0,2020-03-14
Florida,3/14/20,0,2020-03-14
Georgia,3/14/20,0,2020-03-14
Grand Princess,3/14/20,0,2020-03-14
Guam,3/14/20,0,2020-03-14
Hawaii,3/14/20,0,2020-03-14
Idaho,3/14/20,0,2020-03-14
Illinois,3/14/20,0,2020-03-14
Indiana,3/14/20,0,2020-03-14
Iowa,3/14/20,0,2020-03-14
Kansas,3/14/20,0,2020-03-14
Kentucky,3/14/20,0,2020-03-14
Louisiana,3/14/20,1,2020-03-14
Maine,3/14/20,0,2020-03-14
Maryland,3/14/20,0,2020-03-14
Massachusetts,3/14/20,0,2020-03-14
Michigan,3/14/20,0,2020-03-14
Minnesota,3/14/20,0,2020-03-14
Mississippi,3/14/20,0,2020-03-14
Missouri,3/14/20,0,2020-03-14
Montana,3/14/20,0,2020-03-14
Nebraska,3/14/20,0,2020-03-14
Nevada,3/14/20,0,2020-03-14
New Hampshire,3/14/20,0,2020-03-14
New Jersey,3/14/20,0,2020-03-14
New Mexico,3/14/20,0,2020-03-14
New York,3/14/20,4,2020-03-14
North Carolina,3/14/20,0,2020-03-14
North Dakota,3/14/20,0,2020-03-14
Northern Mariana Islands,3/14/20,0,2020-03-14
Ohio,3/14/20,0,2020-03-14
Oklahoma,3/14/20,0,2020-03-14
Oregon,3/14/20,0,2020-03-14
Pennsylvania,3/14/20,0,2020-03-14
Puerto Rico,3/14/20,0,2020-03-14
Rhode Island,3/14/20,0,2020-03-14
South Carolina,3/14/20,0,2020-03-14
South Dakota,3/14/20,0,2020-03-14
Tennessee,3/14/20,0,2020-03-14
Texas,3/14/20,0,2020-03-14
Utah,3/14/20,0,2020-03-14
Vermont,3/14/20,0,2020-03-14
Virgin Islands,3/14/20,0,2020-03-14
Virginia,3/14/20,1,2020-03-14
Washington,3/14/20,2,2020-03-14
West Virginia,3/14/20,0,2020-03-14
Wisconsin,3/14/20,0,2020-03-14
Wyoming,3/14/20,0,2020-03-14
Alabama,3/15/20,0,2020-03-15
Alaska,3/15/20,0,2020-03-15
American Samoa,3/15/20,0,2020-03-15
Arizona,3/15/20,0,2020-03-15
Arkansas,3/15/20,0,2020-03-15
California,3/15/20,1,2020-03-15
Colorado,3/15/20,0,2020-03-15
Connecticut,3/15/20,0,2020-03-15
Delaware,3/15/20,0,2020-03-15
Diamond Princess,3/15/20,0,2020-03-15
District of Columbia,3/15/20,0,2020-03-15
Florida,3/15/20,1,2020-03-15
Georgia,3/15/20,0,2020-03-15
Grand Princess,3/15/20,0,2020-03-15
Guam,3/15/20,0,2020-03-15
Hawaii,3/15/20,0,2020-03-15
Idaho,3/15/20,0,2020-03-15
Illinois,3/15/20,0,2020-03-15
Indiana,3/15/20,0,2020-03-15
Iowa,3/15/20,0,2020-03-15
Kansas,3/15/20,0,2020-03-15
Kentucky,3/15/20,0,2020-03-15
Louisiana,3/15/20,1,2020-03-15
Maine,3/15/20,0,2020-03-15
Maryland,3/15/20,0,2020-03-15
Massachusetts,3/15/20,0,2020-03-15
Michigan,3/15/20,0,2020-03-15
Minnesota,3/15/20,0,2020-03-15
Mississippi,3/15/20,0,2020-03-15
Missouri,3/15/20,0,2020-03-15
Montana,3/15/20,0,2020-03-15
Nebraska,3/15/20,0,2020-03-15
